id,name,brand,last_price,unit_size,category,image_url,canonical_category,offer_price,offer_label,last_update
6119,Longaniza Blanca sin Tripa,SERRANO,2.69,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7099815.jpg?t=20260303080544,Carnes,,,2026-03-31 22:24:20
34070,Longaniza Criolla,CONSUM,4.05,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7435162.jpg?t=20250618081035,Carnes,,,2026-03-31 22:26:04
32609,Longaniza de Aragón Duroc,ARCOIRIS,3.0,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7426810.jpg?t=20260310081808,Otros,,,2026-03-31 22:25:56
8545,Longaniza de Pascua,SERRANO,0.76,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/936864.jpg?t=20260331075813,Otros,,,2026-03-31 22:24:33
33216,Longaniza de Pascua,SERRANO,2.8,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7430999.jpg?t=20260331080554,Otros,,,2026-03-31 22:25:59
25264,Longaniza de Pavo,BOADAS,3.39,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7365419.jpg?t=20260331081155,Otros,,,2026-03-31 22:25:26
11048,Longaniza de Payés,BOADAS,1.99,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7266380.jpg?t=20260408083242,Otros,,,2026-04-08 21:59:58
11179,Longaniza de Payés,SOLÀ,4.85,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7134505.jpg?t=20260331080938,Otros,,,2026-03-31 22:24:45
13402,Longaniza de Payés,ARGAL,25.5,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/4481834.jpg?t=20260401082044,Otros,22.95,Ahora más barato,2026-04-02 21:52:26
19565,Longaniza de Pollo,CONSUM,2.89,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7323009.jpg?t=20260331081111,Carnes,,,2026-03-31 22:25:11
5221,Longaniza Extra,CONSUM,2.97,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/1714799.jpg?t=20251216075936,Carnes,,,2026-03-31 22:24:11
15433,Longaniza Extra,,0.37,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/1716869.jpg?t=20260331075843,Carnes,,,2026-03-31 22:25:00
15034,Longaniza Extra Reserva Exentis,CAN DURAN,2.79,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7268667.jpg?t=20260331081038,Otros,,,2026-03-31 22:24:59
4803,Longaniza Imperial,ELPOZO 1954,2.99,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/231779.jpg?t=20260331080835,Otros,,,2026-03-31 22:24:07
20926,Longaniza Imperial de Pavo,ELPOZO 1954,2.99,1 Kg,Longaniza,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7330822.jpg?t=20260210080756,Otros,,,2026-03-31 22:25:14
21113,Longaniza Pascuera,CONSUM,4.07,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7332153.jpg?t=20260320080055,Carnes,,,2026-03-31 22:25:15
21495,Longaniza Pascuera,,0.72,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7328214.jpg?t=20260331081115,Carnes,,,2026-03-31 22:25:16
5167,Longaniza Tipo Requena,CONSUM,4.6,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/925982.jpg?t=20251209075633,Carnes,,,2026-03-31 22:24:10
13387,Longaniza Tipo Requena,,0.57,1 Kg,Embutido,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/927426.jpg?t=20260406075704,Carnes,0.53,Ahora más barato,2026-04-06 21:54:46
20700,Lote Chocolate Blanco,MILKYBAR,3.49,1 Kg,Chocolate blanco,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7309214.jpg?t=20260310081715,,,,2026-03-26 09:03:14
45598,Lote Extrafino La Roja más Regalo de Taza,NESTLE,5.3,1 Kg,Chocolate con Leche,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7473184.jpg?t=20260331081528,Lacteos,,,2026-03-31 22:26:39
13363,Lubina Crianza de España,,5.48,1 Kg,Pescado blanco,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7010650.jpg?t=20260331080856,Pescados y Mariscos,4.93,Ahora más barato,2026-04-06 21:54:46
28157,Lubricante Extra Sensitiv Naturals,DUREX,15.85,100 ml,Preservativos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7389208.jpg?t=20260331081212,Otros,,,2026-03-31 22:25:37
19740,Lubricante Naturals H2O 100% Ingredientes natur,DUREX,14.9,100 ml,Preservativos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7316201.jpg?t=20260331081106,Otros,,,2026-03-31 22:25:12
13137,Lubricante Play Fresa,DUREX,11.55,100 ml,Preservativos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7247794.jpg?t=20260331081027,Otros,,,2026-03-31 22:24:54
9407,Lubricante Play Original,DUREX,8.9,100 ml,Preservativos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7245504.jpg?t=20260331081025,Otros,,,2026-03-31 22:24:37
30930,Lubricante Íntimo Aloe Vera,HAPPYSEX,6.99,100 ml,Preservativos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7412740.jpg?t=20260331081243,Otros,,,2026-03-31 22:25:48
30929,Lubricante Íntimo Fruta De La Pasión,HAPPYSEX,6.99,100 ml,Preservativos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7412737.jpg?t=20260331081243,Otros,,,2026-03-31 22:25:48
11935,Lunas Bañadas Cacao,CONSUM,2.89,1 Kg,Bollería,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7096530.jpg?t=20260331080925,Panaderia y Bolleria,,,2026-03-31 22:24:48
33561,Lunch Bowl de Zanahoria Garbanzos-Maíz-Quinoa,BONDUELLE,2.99,1 Kg,Preparados de legumbres y hortalizas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7433584.jpg?t=20260331081340,Frutas y Verduras,,,2026-03-31 22:26:01
28303,Lápices Pasteleros de Colores 4 Unidades,DR.OETKER,3.85,1 U,Decoración postres,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7391126.jpg?t=20260331081214,Dulces y Postres,3.29,Ahora más barato,2026-03-31 22:23:55
28276,Lápiz Cejas Vegan,GIO GIOVANNI,1.75,1 U,Ojos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7390685.jpg?t=20260331081213,Otros,,,2026-03-31 22:25:37
28091,Lápiz de Ojos Tattoo Liner Smokey Black,MAYBELLINE,7.49,1 U,Ojos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7387038.jpg?t=20260326104123,Otros,,,2026-03-31 22:25:36
32742,Lápiz Labial Ink Crayon Mate nº105,MAYBELLINE,9.25,1 U,Labiales,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7424489.jpg?t=20251014080254,Otros,,,2026-03-31 22:25:57
22427,Lápiz Labial Superstay Larga Duración Nº30,MAYBELLINE,9.25,1 U,Labiales,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7334571.jpg?t=20251031080422,Otros,,,2026-03-31 22:25:18
22436,Lápiz Labios Ink Mate 15,MAYBELLINE,9.25,1 U,Labiales,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7337785.jpg?t=20260127081440,Otros,,,2026-03-31 22:25:18
22426,Lápiz Labios Ink Mate 25,MAYBELLINE,9.25,1 U,Labiales,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7334555.jpg?t=20251011080014,Otros,,,2026-03-31 22:25:18
22430,Lápiz Labios Ink Mate 50,MAYBELLINE,9.25,1 U,Labiales,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7334667.jpg?t=20250930092338,Otros,,,2026-03-31 22:25:18
28282,Lápiz Ojos 2 Verde Vegan,GIO GIOVANNI,1.55,1 U,Ojos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7390722.jpg?t=20260331081213,Otros,,,2026-03-31 22:25:37
28284,Lápiz Ojos 5 Verde Vegan,GIO GIOVANNI,1.55,1 U,Ojos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7390735.jpg?t=20260331081213,Otros,,,2026-03-31 22:25:37
28285,Lápiz Ojos 6 Negro Vegan,GIO GIOVANNI,1.55,1 U,Ojos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7390743.jpg?t=20260331081213,Otros,,,2026-03-31 22:25:37
28280,Lápiz Ojos Blanco Vegan,GIO GIOVANNI,1.55,1 U,Ojos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7390714.jpg?t=20260331081213,Otros,,,2026-03-31 22:25:37
25008,Macarrones Boloñesa,DUNANY,2.5,1 Kg,Preparados de pasta,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7362937.jpg?t=20260325080453,"Pasta, Arroz y Legumbres",,,2026-03-31 22:25:26
12495,Macarrones Boloñesa Bandeja,CARRETILLA,3.25,1 Kg,Preparados de pasta y arroz,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7173458.jpg?t=20260331080950,"Pasta, Arroz y Legumbres",,,2026-03-31 22:24:50
5749,Macarrones Finos Paquete,CONSUM,0.8,1 Kg,"Macarrones, espaguetis y tallarines",https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7060569.jpg?t=20260331080908,Otros,,,2026-03-31 22:24:17
5742,Macarrones Paquete,CONSUM,0.8,1 Kg,"Macarrones, espaguetis y tallarines",https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7060531.jpg?t=20260331080907,Otros,,,2026-03-31 22:24:17
8504,Macarrones Paquete,CONSUM,1.2,1 Kg,"Macarrones, espaguetis y tallarines",https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7259104.jpg?t=20260331081031,Otros,,,2026-03-31 22:24:33
5750,Macarrones Rayados Paquete,CONSUM,0.85,1 Kg,"Macarrones, espaguetis y tallarines",https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7060572.jpg?t=20260331080908,Otros,,,2026-03-31 22:24:17
35366,Macarrón Integral,CONSUM,1.15,1 Kg,Pasta integral,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7430077.jpg?t=20260331081335,"Pasta, Arroz y Legumbres",,,2026-03-31 22:26:12
43151,Macarrón XL Al Bronce,GALLO,1.4,1 Kg,"Macarrones, espaguetis y tallarines",https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7456197.jpg?t=20260331081435,Otros,,,2026-03-31 22:26:20
4940,Maccheroni Rayado al Huevo Paquete,GALLO,1.88,1 Kg,Pasta al huevo,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/361873.jpg?t=20260331080841,Lacteos,,,2026-03-31 22:24:08
5699,Macedonia de Verduras Frasco,CONSUM,0.9,1 Kg,Otros vegetales,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7053700.jpg?t=20260331080906,Otros,,,2026-03-31 22:24:16
43095,Madeleine con Mantequilla,BONNE MAMAN,2.69,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7455801.jpg?t=20260331081434,Otros,,,2026-03-31 22:26:19
16078,Mafalda Corta Paquete,GAROFALO,1.79,1 Kg,Pasta italiana,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7294262.jpg?t=20260331081052,"Pasta, Arroz y Legumbres",,,2026-03-31 22:25:02
7064,Magdalena Concha,ARENAS,1.85,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7194579.jpg?t=20260331080958,Otros,,,2026-03-31 22:24:26
5837,Magdalena Cuadrada,CONSUM,1.49,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7069771.jpg?t=20260331080914,Otros,,,2026-03-31 22:24:17
23363,Magdalena sin Azúcares Añadidos y Sin Leche,LALY,3.25,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7348340.jpg?t=20260331081135,Otros,,,2026-03-31 22:25:21
33137,Magdalenas 0% Azúcares,DULCESOL,1.75,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7430569.jpg?t=20260331081335,Otros,,,2026-03-31 22:25:59
34333,"Magdalenas Artesanas Sin Gluten, 6 Unidades",SINBLAT,2.49,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7439771.jpg?t=20260331081355,Otros,,,2026-03-31 22:26:06
7800,Magdalenas Caseras,,2.46,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7235286.jpg?t=20260331081019,Otros,,,2026-03-31 22:24:30
7337,Magdalenas Estilo Casero,DULCESOL,2.89,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7210917.jpg?t=20260331081005,Otros,,,2026-03-31 22:24:27
9744,Magdalenas Redondas,CONSUM,1.49,1 Kg,Magdalenas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7069776.jpg?t=20260331080914,Otros,,,2026-03-31 22:24:39
